PubMedID,Entity_1,Entity_2,Sentence,BioBERT_Relation,BioBERT_Conf,PubMedBERT_Relation,PubMedBERT_Conf,BioLinkBERT_Relation,BioLinkBERT_Conf,All_Agree,Avg_Confidence,Ensemble_Result,Ensemble_Conf,Decision_Method
1311232,Interleukin-6,IL-1 alpha,"Interleukin-6 (IL-6) is produced by adrenal zona glomerulosa cells; its release is stimulated by several secretagogues, including IL-1 alpha, IL-1 beta, and angiotensin II.",Association,0.6543090343475342,Association,0.6360734105110168,NO_RELATION,0.9803237915039062,False,0.7569020787874857,,,Escalate_Single_Model
1311232,Interleukin-6,IL-1 beta,"Interleukin-6 (IL-6) is produced by adrenal zona glomerulosa cells; its release is stimulated by several secretagogues, including IL-1 alpha, IL-1 beta, and angiotensin II.",Association,0.6572418808937073,Association,0.6556004285812378,NO_RELATION,0.973563313484192,False,0.7621352076530457,,,Escalate_Single_Model
1311566,Interleukin-6,Tumor Necrosis Factor,"Effects of Tumor Necrosis Factor (TNF), Interleukin-1 (IL-1), Interleukin-6 (IL-6) and Interferon-gamma (IFN-gamma) on the expression of Mn-superoxide dismutase (Mn-SOD) protein were investigated in human hepatoma cells, Hu-H1, which revealed resistance to the cytotoxicity of TNF and IL-1.",Association,0.6905530095100403,Association,0.7014902234077454,NO_RELATION,0.9834451079368592,False,0.7918294469515482,,,Escalate_Single_Model
1311566,Interleukin-6,TNF,"Effects of Tumor Necrosis Factor (TNF), Interleukin-1 (IL-1), Interleukin-6 (IL-6) and Interferon-gamma (IFN-gamma) on the expression of Mn-superoxide dismutase (Mn-SOD) protein were investigated in human hepatoma cells, Hu-H1, which revealed resistance to the cytotoxicity of TNF and IL-1.",Association,0.5618019104003906,Association,0.690351665019989,NO_RELATION,0.988132894039154,False,0.7467621564865112,,,Escalate_Single_Model
1311566,Interleukin-6,Interleukin-1,"Effects of Tumor Necrosis Factor (TNF), Interleukin-1 (IL-1), Interleukin-6 (IL-6) and Interferon-gamma (IFN-gamma) on the expression of Mn-superoxide dismutase (Mn-SOD) protein were investigated in human hepatoma cells, Hu-H1, which revealed resistance to the cytotoxicity of TNF and IL-1.",Association,0.7155889272689819,Association,0.7221838235855103,NO_RELATION,0.9863094091415404,False,0.8080273866653442,,,Escalate_Single_Model
1311566,Interleukin-6,IL-1,"Effects of Tumor Necrosis Factor (TNF), Interleukin-1 (IL-1), Interleukin-6 (IL-6) and Interferon-gamma (IFN-gamma) on the expression of Mn-superoxide dismutase (Mn-SOD) protein were investigated in human hepatoma cells, Hu-H1, which revealed resistance to the cytotoxicity of TNF and IL-1.",Association,0.5649737119674683,Association,0.6971884369850159,NO_RELATION,0.990068256855011,False,0.7507434686024984,,,Escalate_Single_Model
1311566,Interleukin-6,Interferon-gamma,"Effects of Tumor Necrosis Factor (TNF), Interleukin-1 (IL-1), Interleukin-6 (IL-6) and Interferon-gamma (IFN-gamma) on the expression of Mn-superoxide dismutase (Mn-SOD) protein were investigated in human hepatoma cells, Hu-H1, which revealed resistance to the cytotoxicity of TNF and IL-1.",Association,0.6424221992492676,Association,0.7003825902938843,NO_RELATION,0.9837184548377992,False,0.7755077481269836,,,Escalate_Single_Model
1311566,Interleukin-6,IFN-gamma,"Effects of Tumor Necrosis Factor (TNF), Interleukin-1 (IL-1), Interleukin-6 (IL-6) and Interferon-gamma (IFN-gamma) on the expression of Mn-superoxide dismutase (Mn-SOD) protein were investigated in human hepatoma cells, Hu-H1, which revealed resistance to the cytotoxicity of TNF and IL-1.",Association,0.5889275670051575,Association,0.6428541541099548,NO_RELATION,0.989834189414978,False,0.7405386368433634,,,Escalate_Single_Model
1311566,Interleukin-6,Mn-superoxide dismutase (Mn-SOD) protein,"Effects of Tumor Necrosis Factor (TNF), Interleukin-1 (IL-1), Interleukin-6 (IL-6) and Interferon-gamma (IFN-gamma) on the expression of Mn-superoxide dismutase (Mn-SOD) protein were investigated in human hepatoma cells, Hu-H1, which revealed resistance to the cytotoxicity of TNF and IL-1.",Association,0.5942053198814392,Association,0.7008250951766968,NO_RELATION,0.9883119463920592,False,0.7611141204833984,,,Escalate_Single_Model
1311683,Hepatocyte growth factor,heparin-binding polypeptide mitogen,Hepatocyte growth factor (HGF) is a heparin-binding polypeptide mitogen for a variety of cell types including hepatocytes.,Association,0.8248737454414368,Association,0.6713588833808899,NO_RELATION,0.9896607398986816,False,0.8286311229070028,,,Escalate_No_Majority
1311700,Tumor necrosis factor,cytokine,"Tumor necrosis factor (TNF) is a cytokine with pleiotropic effects upon cell growth, inflammation and immunologic responsiveness.",Association,0.8868157863616943,Association,0.8004525899887085,NO_RELATION,0.9872465133666992,False,0.891504963239034,Association,0.8868157863616943,Accepted_By_Ensemble
1312869,Hepatocyte growth factor,hepatotropic factor,Hepatocyte growth factor (HGF) is the most potent mitogen for mature hepatocytes and seems to act as a hepatotropic factor that has not been purified over the past 30 years.,Association,0.6975811719894409,NO_RELATION,0.4982877671718597,NO_RELATION,0.9772946834564208,False,0.7243878742059072,,,Escalate_Single_Model
1313774,Tumor necrosis factor,manganese superoxide dismutase,Tumor necrosis factor (TNF) induces synthesis of manganese superoxide dismutase (MnSOD).,Association,0.8674157857894897,Association,0.7143294811248779,NO_RELATION,0.9938530921936036,False,0.8585327863693237,,,Escalate_No_Majority
1313774,Tumor necrosis factor,MnSOD,Tumor necrosis factor (TNF) induces synthesis of manganese superoxide dismutase (MnSOD).,Association,0.8486678600311279,Association,0.705416738986969,NO_RELATION,0.997204601764679,False,0.8504297335942587,,,Escalate_No_Majority
1314824,Tumor necrosis factor,TNF alpha,"Tumor necrosis factor alpha (TNF alpha), 12-O-tetradecanoylphorbol-13-acetate and cAMP stimulate hexose transport in quiescent 3T3-L1 preadipocytes by stabilizing the relatively labile mRNA coding for the basal glucose transporter, GLUT-1.",Association,0.7248098850250244,Association,0.6341755986213684,NO_RELATION,0.9539332985877992,False,0.7709729274113973,,,Escalate_Single_Model
1314824,Tumor necrosis factor,basal glucose transporter,"Tumor necrosis factor alpha (TNF alpha), 12-O-tetradecanoylphorbol-13-acetate and cAMP stimulate hexose transport in quiescent 3T3-L1 preadipocytes by stabilizing the relatively labile mRNA coding for the basal glucose transporter, GLUT-1.",Association,0.7607293725013733,Association,0.6650571823120117,NO_RELATION,0.9456191062927246,False,0.7904685537020365,,,Escalate_Single_Model
1317483,Interleukin-4,cytokine,"Interleukin-4 (IL-4) is a cytokine, with potential anti-neoplastic effects.",Association,0.868704080581665,Association,0.8246074318885803,NO_RELATION,0.9916016459465028,False,0.8949710528055826,Association,0.868704080581665,Accepted_By_Ensemble
1317575,Tumor necrosis factor,TNF alpha,"Tumor necrosis factor alpha (TNF alpha), a primary mediator of systemic responses to sepsis and infection, can be injurious to the organism when present in excessive quantities.",Association,0.79225093126297,NO_RELATION,0.4100147485733032,NO_RELATION,0.9866407513618468,False,0.72963547706604,,,Escalate_Single_Model
1318867,Tumor necrosis factor,interleukin-1,"Tumor necrosis factor (TNF) and interleukin-1 (IL-1), cytokines with multiple, overlapping biologic activities, have been shown to interact synergistically in nonocular tissues.",Association,0.8821252584457397,Association,0.3541180491447449,NO_RELATION,0.9805667996406556,False,0.73893670241038,,,Escalate_No_Majority
1318867,Tumor necrosis factor,IL-1,"Tumor necrosis factor (TNF) and interleukin-1 (IL-1), cytokines with multiple, overlapping biologic activities, have been shown to interact synergistically in nonocular tissues.",Association,0.8840668797492981,Association,0.3809973001480102,NO_RELATION,0.992382824420929,False,0.7524823347727457,,,Escalate_No_Majority
1318867,Tumor necrosis factor,cytokines,"Tumor necrosis factor (TNF) and interleukin-1 (IL-1), cytokines with multiple, overlapping biologic activities, have been shown to interact synergistically in nonocular tissues.",Association,0.8824573755264282,Positive_regulation,0.3716591894626617,NO_RELATION,0.9270084500312804,False,0.7270416716734568,,,Escalate_No_Majority
1319763,Tumor necrosis factor,interleukin 1,"Tumor necrosis factor (TNF), interleukin 1 (IL-1) and interleukin 6 (IL-6) are central mediators of the inflammatory response.",Association,0.8826470971107483,Association,0.3444682657718658,NO_RELATION,0.9932591915130616,False,0.7401248514652252,,,Escalate_No_Majority
1319763,Tumor necrosis factor,IL-1,"Tumor necrosis factor (TNF), interleukin 1 (IL-1) and interleukin 6 (IL-6) are central mediators of the inflammatory response.",Association,0.8784719109535217,Association,0.3608949184417724,NO_RELATION,0.9941408038139344,False,0.7445025444030762,,,Escalate_No_Majority
1319763,Tumor necrosis factor,interleukin 6,"Tumor necrosis factor (TNF), interleukin 1 (IL-1) and interleukin 6 (IL-6) are central mediators of the inflammatory response.",Association,0.8833773732185364,Association,0.2983338236808777,NO_RELATION,0.9944869875907898,False,0.725399394830068,,,Escalate_No_Majority
1319763,Tumor necrosis factor,IL-6,"Tumor necrosis factor (TNF), interleukin 1 (IL-1) and interleukin 6 (IL-6) are central mediators of the inflammatory response.",Association,0.8867975473403931,Association,0.3398277163505554,NO_RELATION,0.9956538677215576,False,0.7407597104708353,,,Escalate_No_Majority
1321390,Interleukin-6,tyrosine hydroxylase,"Interleukin-6 (IL-6, human recombinant) promoted the survival of catecholaminergic neurons from fetal and postnatal rat midbrains as assessed by an immunohistochemical staining for tyrosine hydroxylase (TH) in culture using a chemically defined medium.",Association,0.8485825061798096,Association,0.4709535539150238,NO_RELATION,0.983744204044342,False,0.7677600880463918,,,Escalate_No_Majority
1321736,Interleukin-6,cell surface receptor,Interleukin-6 (IL6) exerts its action via a cell surface receptor composed of an 80 kDa IL6-binding protein (gp80) and a 130 kDa polypeptide involved in signal transduction (gp130).,Association,0.9172505736351012,Association,0.2886823117733001,NO_RELATION,0.8788682222366333,False,0.694933702548345,,,Escalate_No_Majority
1321736,Interleukin-6,80 kDa IL6-binding protein,Interleukin-6 (IL6) exerts its action via a cell surface receptor composed of an 80 kDa IL6-binding protein (gp80) and a 130 kDa polypeptide involved in signal transduction (gp130).,Association,0.9144174456596376,Association,0.8092473149299622,NO_RELATION,0.9035877585411072,False,0.8757508397102356,Association,0.9144174456596376,Accepted_By_Ensemble
1321736,Interleukin-6,gp80,Interleukin-6 (IL6) exerts its action via a cell surface receptor composed of an 80 kDa IL6-binding protein (gp80) and a 130 kDa polypeptide involved in signal transduction (gp130).,Association,0.9121698141098022,Association,0.7988041043281555,NO_RELATION,0.96810382604599,False,0.8930259148279825,,,Escalate_No_Majority
1321738,Interleukin-6,acute-phase proteins,Interleukin-6 (IL-6) induces changes in gene expression and the N-glycosylation pattern of acute-phase proteins in hepatocytes.,Association,0.8581706881523132,Association,0.6858276128768921,NO_RELATION,0.973603904247284,False,0.8392007350921631,,,Escalate_No_Majority
1321793,Interleukin-2,beta chain,Interleukin-2 can induce cytolytic activity in human peripheral blood lymphocytes and this activation is mediated by the beta chain of the interleukin-2 receptor-beta (IL-2R beta).,Association,0.825573742389679,Association,0.7812389731407166,NO_RELATION,0.9574254751205444,False,0.8547460635503134,,,Escalate_No_Majority
1321793,Interleukin-2,IL-2R beta,Interleukin-2 can induce cytolytic activity in human peripheral blood lymphocytes and this activation is mediated by the beta chain of the interleukin-2 receptor-beta (IL-2R beta).,Association,0.7137243151664734,Association,0.7533060312271118,NO_RELATION,0.9927691221237184,False,0.8199331561724345,,,Escalate_Single_Model
1323842,Granulocyte-macrophage colony-stimulating factor,tumor necrosis factor alpha,"Granulocyte-macrophage colony-stimulating factor (GM-CSF), formylmethionylleucylphenylalanine, tumor necrosis factor alpha, platelet-activating factor, phorbol ester (phorbol 12-myristate 13-acetate), and calcium ionophore A23187 are able to increase the level of tyrosine phosphorylation of different protein substrates, as demonstrated by Western blotting with anti-phosphotyrosine antibody (anti-PY).",Association,0.887908399105072,NO_RELATION,0.5508687496185303,NO_RELATION,0.9963691234588624,False,0.8117154240608215,,,Escalate_No_Majority
1323842,Granulocyte-macrophage colony-stimulating factor,platelet-activating factor,"Granulocyte-macrophage colony-stimulating factor (GM-CSF), formylmethionylleucylphenylalanine, tumor necrosis factor alpha, platelet-activating factor, phorbol ester (phorbol 12-myristate 13-acetate), and calcium ionophore A23187 are able to increase the level of tyrosine phosphorylation of different protein substrates, as demonstrated by Western blotting with anti-phosphotyrosine antibody (anti-PY).",Association,0.8868818879127502,Association,0.5542913675308228,NO_RELATION,0.9961861968040466,False,0.8124531507492065,,,Escalate_No_Majority
1323842,Granulocyte-macrophage colony-stimulating factor,anti-phosphotyrosine antibody,"Granulocyte-macrophage colony-stimulating factor (GM-CSF), formylmethionylleucylphenylalanine, tumor necrosis factor alpha, platelet-activating factor, phorbol ester (phorbol 12-myristate 13-acetate), and calcium ionophore A23187 are able to increase the level of tyrosine phosphorylation of different protein substrates, as demonstrated by Western blotting with anti-phosphotyrosine antibody (anti-PY).",Association,0.8806797862052917,Association,0.4826913475990295,NO_RELATION,0.99595707654953,False,0.7864427367846171,,,Escalate_No_Majority
1323842,Granulocyte-macrophage colony-stimulating factor,anti-PY,"Granulocyte-macrophage colony-stimulating factor (GM-CSF), formylmethionylleucylphenylalanine, tumor necrosis factor alpha, platelet-activating factor, phorbol ester (phorbol 12-myristate 13-acetate), and calcium ionophore A23187 are able to increase the level of tyrosine phosphorylation of different protein substrates, as demonstrated by Western blotting with anti-phosphotyrosine antibody (anti-PY).",Association,0.8821998238563538,NO_RELATION,0.8417376279830933,NO_RELATION,0.9962466359138488,False,0.9067280292510986,NO_RELATION,0.9962466359138488,Accepted_By_Ensemble
1327540,Tumor necrosis factor,17-kDa protein,Tumor necrosis factor (TNF) is a 17-kDa protein produced by endotoxin-stimulated macrophages.,Association,0.8898422718048096,NO_RELATION,0.3061923086643219,NO_RELATION,0.988854169845581,False,0.7282962501049042,,,Escalate_No_Majority
1328056,Interleukin-6,cytokine,"Interleukin-6 (IL-6) is a cytokine produced by a number of cells, including macrophages, and is directly involved in the inflammatory response.",Association,0.8377416729927063,Association,0.7922316193580627,NO_RELATION,0.9866989850997924,False,0.8722240924835205,,,Escalate_No_Majority
1328193,Hepatocyte growth factor,heavy chain,Hepatocyte growth factor (HGF) is a heterodimeric protein consisting of a heavy chain and a light chain held by a disulfide bond.,Association,0.9007742404937744,NO_RELATION,0.8760652542114258,NO_RELATION,0.9913043975830078,False,0.922714630762736,NO_RELATION,0.9913043975830078,Accepted_By_Ensemble
1328751,Tumor necrosis factor,TNF alpha,Tumor necrosis factor alpha (TNF alpha) is likely to exert a major influence in the pathogenesis of glomerulopathies.,Association,0.8940560817718506,Association,0.8207723498344421,NO_RELATION,0.986919105052948,False,0.900582512219747,Association,0.8940560817718506,Accepted_By_Ensemble
1328986,Hepatocyte growth factor,scatter factor,"Hepatocyte growth factor (HGF), also known as scatter factor (SF), is a polypeptide which induces motility and/or mitogenesis in epithelial cells.",Association,0.8955045342445374,NO_RELATION,0.4316323399543762,NO_RELATION,0.9957451224327089,False,0.7742939988772074,,,Escalate_No_Majority
1329755,Hepatocyte growth factor,mitogen,Hepatocyte growth factor (HGF) is the most potent known mitogen for hepatocytes in primary culture.,Association,0.6345412135124207,Positive_regulation,0.4104823768138885,NO_RELATION,0.9786404967308044,False,0.6745546956857046,,,Escalate_Single_Model
1330580,Tumor necrosis factor,cytokine,"Tumor necrosis factor (TNF) is a cytokine which, among other properties, is a principle mediator of inflammation and septic shock.",Association,0.8577282428741455,Association,0.7529421448707581,NO_RELATION,0.9760848879814148,False,0.8622517585754395,,,Escalate_No_Majority
1330615,Interleukin-1 beta,IL-1,"Interleukin-1 beta (IL-1), a cytokine released from inflammatory cells, is thought to be involved in the anorexia associated with severe infection.",Association,0.8203647136688232,Association,0.7850911617279053,NO_RELATION,0.9894010424613952,False,0.8649523059527079,,,Escalate_No_Majority
1330615,Interleukin-1 beta,cytokine,"Interleukin-1 beta (IL-1), a cytokine released from inflammatory cells, is thought to be involved in the anorexia associated with severe infection.",Association,0.8450703024864197,Association,0.7719303965568542,NO_RELATION,0.6941787600517273,False,0.7703931530316671,,,Escalate_Single_Model
1331566,Tumor necrosis factor,lymphotoxin,"Tumor necrosis factor (TNF, also called TNF-alpha) and lymphotoxin (LT, TNF-beta) have 32% homology in their primary structures, and it has recently been clarified that they also have closely related tertially structures.",Association,0.9129908084869384,NO_RELATION,0.9255808591842652,NO_RELATION,0.9959410429000854,False,0.9448375701904297,NO_RELATION,0.9959410429000854,Accepted_By_Ensemble
1331565,Hepatocyte growth factor,69 kDa alpha-chain,"Hepatocyte growth factor (HGF), a potent mitogen of mature hepatocytes in primary culture, is composed of 69 kDa alpha-chain with four kringle domains and 34 kDa beta-chain.",Association,0.9041008949279784,Association,0.7120136022567749,NO_RELATION,0.9909652471542358,False,0.8690265814463297,,,Escalate_No_Majority
1331565,Hepatocyte growth factor,kringle domains,"Hepatocyte growth factor (HGF), a potent mitogen of mature hepatocytes in primary culture, is composed of 69 kDa alpha-chain with four kringle domains and 34 kDa beta-chain.",Association,0.905100405216217,Association,0.7016690969467163,NO_RELATION,0.9910564422607422,False,0.8659419814745585,,,Escalate_No_Majority
1331565,Hepatocyte growth factor,34 kDa beta-chain,"Hepatocyte growth factor (HGF), a potent mitogen of mature hepatocytes in primary culture, is composed of 69 kDa alpha-chain with four kringle domains and 34 kDa beta-chain.",Association,0.9051955938339232,Association,0.7044601440429688,NO_RELATION,0.9933699369430542,False,0.8676752249399821,,,Escalate_No_Majority
1332867,Hepatocyte growth factor,mesenchymal-derived factor,"Hepatocyte growth factor (HGF) is a mesenchymal-derived factor which induces mitosis, cell movement and morphogenesis of tissue-like structure.",Association,0.889633059501648,Positive_regulation,0.3647722601890564,NO_RELATION,0.977942168712616,False,0.7441158294677734,,,Escalate_No_Majority
1333789,Interleukin-2,cytokines,"Interleukin-2 (IL-2) treatment induces other cytokines such as tumour necrosis factor (TNF) TNF may mediate some of the anti-tumour activity of IL-2, but conversely, may contribute to its dose limiting toxicities.",Association,0.6004690527915955,Association,0.5560032725334167,NO_RELATION,0.8820716142654419,False,0.6795146465301514,,,Escalate_Single_Model
1333789,Interleukin-2,tumour necrosis factor (TNF) TNF,"Interleukin-2 (IL-2) treatment induces other cytokines such as tumour necrosis factor (TNF) TNF may mediate some of the anti-tumour activity of IL-2, but conversely, may contribute to its dose limiting toxicities.",Association,0.6748286485671997,Association,0.5519821643829346,NO_RELATION,0.9751852750778198,False,0.733998696009318,,,Escalate_Single_Model
1334847,Tumor necrosis factor,TNF alpha,"Tumor necrosis factor alpha (TNF alpha) stimulated rapid (seconds) hydrolysis of sphingomyelin in HL-60 cells, formation of phosphocholine (PCho) and a decrease in choline.",Association,0.7326350808143616,Association,0.5924932956695557,NO_RELATION,0.9927944540977478,False,0.7726409435272217,,,Escalate_Single_Model
1334847,Tumor necrosis factor,sphingomyelin,"Tumor necrosis factor alpha (TNF alpha) stimulated rapid (seconds) hydrolysis of sphingomyelin in HL-60 cells, formation of phosphocholine (PCho) and a decrease in choline.",Association,0.7427371740341187,Association,0.6324573755264282,NO_RELATION,0.9684273600578308,False,0.7812073032061259,,,Escalate_Single_Model
1336496,Hepatocyte growth factor,cytokine,"Hepatocyte growth factor (HGF)/scatter factor (SF) is a cytokine which is produced by mesenchymal cells and stimulates the motility of some epithelial cells, including cancer cells and vascular endothelial cells.",Association,0.8674890398979187,Association,0.795771598815918,NO_RELATION,0.994906723499298,False,0.8860557874043783,,,Escalate_No_Majority
1337403,Tumor necrosis factor,TNF alpha,Tumor necrosis factor alpha (TNF alpha) levels were determined by enzyme-linked immunosorbent assay (ELISA) and by cell culture bioassay in supernatants of lipopolysaccharide-stimulated feline monocyte cultures and in cat serum samples.,Association,0.8508554100990295,Association,0.7910274267196655,NO_RELATION,0.9920097589492798,False,0.877964198589325,,,Escalate_No_Majority
1339618,Interleukin-2,IL2 receptors,"The ability of Interleukin-2 (IL2) production, IL2 receptors expression and proliferative response by lymphocytes from 48 patients with primary lung cancer and 50 normal controls were studied.",Association,0.8126577138900757,Association,0.4138359725475311,Association,0.6849174499511719,True,0.6371370454629263,,,Escalate_Single_Model
1340527,Tumor necrosis factor,cytokine,"Tumor necrosis factor is a cytokine that participates in the mediation of numerous diseases associated with inflammation, cachexia, shock, and tissue injury.",Association,0.8636894822120667,Association,0.7274324893951416,NO_RELATION,0.7310750484466553,False,0.7740656733512878,,,Escalate_Single_Model
1342368,Interleukin-7,cytokine,Interleukin-7 (IL-7) is a cytokine initially described as a growth factor for B cell progenitors.,Association,0.8750104308128357,Association,0.746643602848053,NO_RELATION,0.9892573952674866,False,0.8703038096427917,,,Escalate_No_Majority
1342368,Interleukin-7,growth factor,Interleukin-7 (IL-7) is a cytokine initially described as a growth factor for B cell progenitors.,Association,0.8617764711380005,Association,0.7529832720756531,NO_RELATION,0.9829240441322328,False,0.865894595781962,,,Escalate_No_Majority
1343091,Interleukin-6,multifunctional cytokine,Interleukin-6 (IL-6) is a multifunctional cytokine that participates in the inflammatory and immune responses.,Association,0.8883364200592041,Association,0.8327496647834778,NO_RELATION,0.9898650050163268,False,0.9036503632863363,Association,0.8883364200592041,Accepted_By_Ensemble
1350462,Interleukin-2,growth factor,"Interleukin-2 (IL-2), a crucial growth factor for mature T lymphocytes, is produced in fetal thymus under developmental control, although its biological significance remains unclear.",Association,0.8497148156166077,NO_RELATION,0.825840413570404,NO_RELATION,0.973292350769043,False,0.8829491933186849,NO_RELATION,0.973292350769043,Accepted_By_Ensemble
1351506,Interferon gamma,ICAM-1,"Interferon gamma (IFN-gamma) is known to induce ICAM-1 on keratinocytes (KC) in vitro, and its expression in vivo is correlated with epidermal T-cell infiltration in various dermatoses.",Association,0.7234055399894714,Association,0.7272768020629883,NO_RELATION,0.7892774343490601,False,0.7466532588005066,,,Escalate_No_Confident_Model
1352925,Interleukin-2,non-major histocompatibility complex,Interleukin-2 (IL-2) treatment of cells and generation of non-major histocompatibility complex (MHC)-restricted cytotoxic cells from peripheral blood mononuclear leukocytes (PBML) was studied.,Association,0.8405929803848267,Positive_regulation,0.462027370929718,NO_RELATION,0.9921890497207642,False,0.7649364670117696,,,Escalate_No_Majority
1355672,Granulocyte-macrophage colony-stimulating factor,neutrophil surface CD11b/CD18,"Granulocyte-macrophage colony-stimulating factor (GM-CSF) causes upregulation of neutrophil surface CD11b/CD18 expression, and enhances the adhesion of neutrophils to cultured human endothelial cells in vitro.",Association,0.6260315179824829,Association,0.6801710724830627,NO_RELATION,0.9380420446395874,False,0.7480815450350443,,,Escalate_Single_Model
1357848,Interleukin-6,BSF-2/IFN beta 2,Interleukin-6 (IL-6 or BSF-2/IFN beta 2) is a component of normal human skin.,Association,0.8958888649940491,Association,0.8618922233581543,NO_RELATION,0.9954997897148132,False,0.9177602926890055,Association,0.8958888649940491,Accepted_By_Ensemble
1358928,Interferon gamma,intercellular adhesion molecule-1,"Interferon gamma (IFN-gamma) induces the interaction of intercellular adhesion molecule-1 (ICAM-1) and lymphocyte function-associated antigen type 1 expression, and of HLA-DR antigens by keratinocytes.",Association,0.8486448526382446,Association,0.6996976137161255,NO_RELATION,0.9785429239273072,False,0.8422951300938925,,,Escalate_No_Majority
1358928,Interferon gamma,ICAM-1,"Interferon gamma (IFN-gamma) induces the interaction of intercellular adhesion molecule-1 (ICAM-1) and lymphocyte function-associated antigen type 1 expression, and of HLA-DR antigens by keratinocytes.",Association,0.8475213646888733,Association,0.7277995347976685,NO_RELATION,0.983860731124878,False,0.8530605435371399,,,Escalate_No_Majority
1358928,Interferon gamma,lymphocyte function-associated antigen type 1,"Interferon gamma (IFN-gamma) induces the interaction of intercellular adhesion molecule-1 (ICAM-1) and lymphocyte function-associated antigen type 1 expression, and of HLA-DR antigens by keratinocytes.",Association,0.8248386979103088,Association,0.7114667892456055,NO_RELATION,0.9443459510803224,False,0.8268838127454122,,,Escalate_No_Majority
1358928,Interferon gamma,HLA-DR antigens,"Interferon gamma (IFN-gamma) induces the interaction of intercellular adhesion molecule-1 (ICAM-1) and lymphocyte function-associated antigen type 1 expression, and of HLA-DR antigens by keratinocytes.",Association,0.8539763689041138,Association,0.6894283890724182,NO_RELATION,0.9645431041717528,False,0.835982620716095,,,Escalate_No_Majority
