Protein 1,Protein 2,relation,ACTUAL protein 1,Actual protein 2,PubMedID,Sentence
C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,unknown,C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,18801063,"If, however, sufficient amounts of Sec23p remain associated with free vesicles, then the previous result may reflect the fact that other GTPases are involved in the tethering of these vesicles."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,18801063,"If, however, sufficient amounts of Sec23p remain associated with free vesicles, then the previous result may reflect the fact that other GTPases are involved in the tethering of these vesicles."
Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,unknown,Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,18801063,"If, however, sufficient amounts of Sec23p remain associated with free vesicles, then the previous result may reflect the fact that other GTPases are involved in the tethering of these vesicles."
Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,unknown,Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,20696707,"Because there was a decrease in CD95-mediated cell death after c-FLIPL overexpression, although initial procaspase-8 cleavage was accelerated, we aimed to get more insight into this phenomenon."
C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,unknown,C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,16990252,"In spite of the developmental significance of Fli-I, its biochemical roles remain to be further elucidated."
Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,unknown,Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,16990252,"In cultured cells Fli-I can be in the nucleus or associated with actin in the cytoskeleton, depending on the serum levels and growth conditions, suggesting multiple roles for Fli-I in transcription and cytoskeleton regulation."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,20104595,"Given these multiple roles, it was initially difficult to understand how Six3 fit into the HPE scheme."
C-X-C motif chemokine 9,Lymphotoxin-alpha,unknown,C-X-C motif chemokine 9,Lymphotoxin-alpha,12593796,Our results indicate that the interaction of hSpry2 with c-Cbl might serve as a mechanism for the downregulation of hSpry2 during receptor tyrosine kinase signaling.
C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,unknown,C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,29559111,"This approach is beneficial as it overcomes the haunting concern associated with reporter gene assays where the DNA may not be fully chromatinized and, thus, may not reflect the physiological conditions of the gene."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,29559111,"This study identified two novel enhancer elements located ~6.5 and ~1.4 kb upstream of the Arc TSS and multiple highly conserved regions containing putative binding sites for factors associated with plasticity, such as the nuclear factor of activated T cells, nuclear factor kB and myocyte-specific enhancement factor 2 (MEF2)."
C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,unknown,C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,30651634,"Of note, the clinical course of AML is also influenced by specific combinations of mutations rather than individual mutations, as demonstrated in a recent study assessing the driver landscape in AML through the identification of nonoverlapping subgroups of patients."
C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,unknown,C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,30651634,"The design of this study allowed a full genomic classification and found, for example, that the NPM1 mutation carries a favorable prognosis only in the absence of a FLT3-ITD mutation (or FLT3-ITD with a low allelic ratio), whereas mutations in both ASXL1 and RUNX1 confer a poor prognosis, especially when they co-occur."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,30651634,"The design of this study allowed a full genomic classification and found, for example, that the NPM1 mutation carries a favorable prognosis only in the absence of a FLT3-ITD mutation (or FLT3-ITD with a low allelic ratio), whereas mutations in both ASXL1 and RUNX1 confer a poor prognosis, especially when they co-occur."
Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,unknown,Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,30651634,"The design of this study allowed a full genomic classification and found, for example, that the NPM1 mutation carries a favorable prognosis only in the absence of a FLT3-ITD mutation (or FLT3-ITD with a low allelic ratio), whereas mutations in both ASXL1 and RUNX1 confer a poor prognosis, especially when they co-occur."
Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,unknown,Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,30651634,"Collectively, although clinical outcomes in FLT3-ITD-mutated AML are complex and impacted by multiple factors, such as the patient's baseline characteristics and co-occurring mutations, there is robust evidence that FLT3-ITD is an important prognostic biomarker, as recognized in international guidelines (e.g., NCCN and ELN)."
Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,unknown,Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,21356043,"Secondary antibodies were: donkey anti-sheep AlexaFluor 594 (Molecular Probes, Invitrogen Ltd; Carlsbad, CA, USA); goat anti-rabbit FITC (Jackson ImmunoResearch Labs Inc; PA, USA); goat anti-rabbit Cy3 (Sigma-Aldrich, St."
C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,unknown,C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,23665231,"piRNA populations mapping to the major germline piRNA cluster 42AB collapsed nearly entirely in all three knockdowns (Figure 6E), while piRNAs derived from the soma-specific flamenco cluster were essentially unchanged, in agreement with the knockdown being germline specific."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,9396765,This was not a defect in the ability of ZAP-70 to be phosphorylated in these NK cells since cross-linking with FcR-specific antibodies on the same cells results in an increase in ZAP-70 tyrosine phosphorylation (Fig.
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,15737063,"Whereas wild-type Scc1 was efficiently cleaved at both sites in mitotic egg extract, we did not observe any fragment resulting from cleavage at Arg450 when either Scc1-S454A or Scc1-9xA was analyzed (Figure 2C and unpublished data), further supporting the conclusion that phosphorylation at Ser454 of Scc1 is essential for cleavage at Arg450."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,23459139,"We interpret the discrepancy between earlier reported results and ours, obtained from primary hepatocytes of Tysnd1-/- mice, as an effect of residual Tysnd1 protein expression after insufficient knock-down of Tysnd1 by RNAi."
C-X-C motif chemokine 9,Lymphotoxin-alpha,activates,C-X-C motif chemokine 9,Lymphotoxin-alpha,15294024,"In addition, others have shown that although Shh induces angiogenesis in a mouse model of hindlimb ischemia, it has no effect on endothelial cell proliferation or migration in cell culture."
Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,unknown,Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,10800694,"However, R* has a substantial affinity for T alpha beta gamma, and the influence of R* and T alpha greatly reduces any differences resulting from the presence or absence of a methyl group on T beta gamma."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,10800694,"The results from studies of demethylated T beta gamma demonstrate that specific lipid-receptor interactions are unlikely to play a critical role in the rhodopsin-transducin system, and further show that the effect of methylation is probably due to the increased hydrophobicity of methylated T beta gamma versus its unmethylated counterpart."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,17355984,Epigenetic disruption of ribosomal RNA genes and nucleolar architecture in DNA methyltransferase 1 (Dnmt1) deficient cells.
Interleukin-6,Tumor necrosis factor,activates,Interleukin-6,Tumor necrosis factor,21994466,"SW480 cells were used for the majority of studies because our prior studies demonstrated that these cells are responsive to both IL-6 and TNFalpha, which robustly activate STAT3 and NFkappaB, respectively."
Interleukin-6,Tumor necrosis factor,activates,Interleukin-6,Tumor necrosis factor,21994466,"Given prior findings that both IL-6 and TNFalpha were required to induce TNFR2, cells were treated with recombinant human IL-6 and/or TNFalpha (Peprotech) at 50ng/mL in serum-free medium."
C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,unknown,C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,19193899,Both significantly induced an SRE-driven firefly luciferase reporter gene (SRE-Luciferase) that directly measures SRF activity (Fig.
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,24695225,Plotting the chemical proteomic results of SCH51344 and (S)-crizotinib against each other singled out MTH1 as the only common high-significance interactor (Fig.
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,25356737,"The results demonstrated that rhN3-ICD-V5 was specifically pulled down by WWP2-GST in a dose-dependent fashion, but was not pulled down by GST-control peptides (Fig."
Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,unknown,Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,27597759,"In both the medium and heavy fractions, we detected multiple HA-Ub bands in cells expressing PEX2-FLAG, but not in the cells transfected with empty vector, suggesting the expression of PEX2-FLAG causes an increase in the ubiquitination of peroxisomal membrane proteins (Fig."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,22684280,Knockdown of CBX3 expression results in down-regulation of a subset of target genes and significant accumulation of unspliced transcripts from greater than 1000 transcripts.
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,17267404,"Most importantly, no significant binding of ATF2 to the ASNS AARE was detected in wild type cells while, in contrast to the results obtained with the CHOP and ATF3 AAREs the lack of ATF2 did not affect the increase in histone H4 acetylation in the vicinity of the AARE following leucine deprivation."
Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,unknown,Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,9585416,"An alternative explanation for the loss of inner arms, radial spokes, and beak-like projections in fla14 mutants is that the absence of LC8 affects transport of these structures in the flagellum."
C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,unknown,C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,9585416,"In dikaryon rescue experiments, the beak-like projections are restored to fully formed flagella of mutants specifically lacking the projections, raising the possibility that these structures also are transported to the tip of the flagellum and then move back down the lumen of the B tubule to their binding sites."
C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,unknown,C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,9585416,"If defects in the fla14 flagellum prevented this transport, deficiencies in assembly of inner arms, radial spokes, and perhaps the beak-like projections would result."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,9585416,"If defects in the fla14 flagellum prevented this transport, deficiencies in assembly of inner arms, radial spokes, and perhaps the beak-like projections would result."
Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,unknown,Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,9585416,"If defects in the fla14 flagellum prevented this transport, deficiencies in assembly of inner arms, radial spokes, and perhaps the beak-like projections would result."
Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,unknown,Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,9585416,"Although anterograde movement of rafts appears to proceed unimpaired in fla14 flagella, the movement of other components may be impeded."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,20463816,"The results define a novel genetic and bioinformatics model for introduction and identification of multi-allelic mutations in replication competent viruses that will be powerful tools for testing the effects of decreased fidelity and increased quasispecies diversity on viral replication, pathogenesis, and evolution."
C-C motif chemokine 7,Granulocyte-macrophage colony-stimulating factor,unknown,C-C motif chemokine 7,Granulocyte-macrophage colony-stimulating factor,20506188,"We also performed ChIP assays to investigate histone modifications characteristic of transcriptionally active or inactive chromatin on the RUNX1-dependent GMCSF and IL3 promoters, or the silent hOC promoter in Jurkat cells."
C-C motif chemokine 7,Macrophage colony-stimulating factor 1,unknown,C-C motif chemokine 7,Macrophage colony-stimulating factor 1,20506188,"We also performed ChIP assays to investigate histone modifications characteristic of transcriptionally active or inactive chromatin on the RUNX1-dependent GMCSF and IL3 promoters, or the silent hOC promoter in Jurkat cells."
Granulocyte-macrophage colony-stimulating factor,Macrophage colony-stimulating factor 1,unknown,Granulocyte-macrophage colony-stimulating factor,Macrophage colony-stimulating factor 1,20506188,"We also performed ChIP assays to investigate histone modifications characteristic of transcriptionally active or inactive chromatin on the RUNX1-dependent GMCSF and IL3 promoters, or the silent hOC promoter in Jurkat cells."
Granulocyte-macrophage colony-stimulating factor,Macrophage colony-stimulating factor 1,unknown,Granulocyte-macrophage colony-stimulating factor,Macrophage colony-stimulating factor 1,20506188,"We observed that the active GMCSF and IL3 promoters are associated with H3K4me2 and H4-Ac, but not with H3K27me2 (Figure 4)."
C-C motif chemokine 19,C-X-C motif chemokine 9,unknown,C-C motif chemokine 19,C-X-C motif chemokine 9,23106124,"Aspergillus fumigatus strain CBS 144.89 (Centraalbureau voor Schimmelcultures, Utrecht, the Netherlands) was the parental strain in all experiments."
C-C motif chemokine 19,Lymphotoxin-alpha,unknown,C-C motif chemokine 19,Lymphotoxin-alpha,23106124,"Aspergillus fumigatus strain CBS 144.89 (Centraalbureau voor Schimmelcultures, Utrecht, the Netherlands) was the parental strain in all experiments."
C-X-C motif chemokine 9,Lymphotoxin-alpha,unknown,C-X-C motif chemokine 9,Lymphotoxin-alpha,23106124,"Aspergillus fumigatus strain CBS 144.89 (Centraalbureau voor Schimmelcultures, Utrecht, the Netherlands) was the parental strain in all experiments."
C-X-C motif chemokine 9,Lymphotoxin-alpha,unknown,C-X-C motif chemokine 9,Lymphotoxin-alpha,23106124,fumigatus was cultivated at 37degreesC and liquid cultures were shaken at 200 r.p.m.
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,19234465,"Mammalian gene silencing is established through methylation of histones and DNA, although the order in which these modifications occur remains contentious."
Granulocyte-macrophage colony-stimulating factor,Macrophage colony-stimulating factor 1,unknown,Granulocyte-macrophage colony-stimulating factor,Macrophage colony-stimulating factor 1,7478534,ETS1 transactivates the human GM-CSF promoter in Jurkat T cells stimulated with PMA and ionomycin.
Granulocyte-macrophage colony-stimulating factor,Lymphotoxin-alpha,unknown,Granulocyte-macrophage colony-stimulating factor,Lymphotoxin-alpha,7478534,Granulocyte-macrophage colony-stimulating factor (GM-CSF) is one such cytokine whose increased expression results partly from increases in transcription.
Granulocyte-macrophage colony-stimulating factor,Macrophage colony-stimulating factor 1,unknown,Granulocyte-macrophage colony-stimulating factor,Macrophage colony-stimulating factor 1,7478534,Granulocyte-macrophage colony-stimulating factor (GM-CSF) is one such cytokine whose increased expression results partly from increases in transcription.
Lymphotoxin-alpha,Macrophage colony-stimulating factor 1,unknown,Lymphotoxin-alpha,Macrophage colony-stimulating factor 1,7478534,Granulocyte-macrophage colony-stimulating factor (GM-CSF) is one such cytokine whose increased expression results partly from increases in transcription.
Granulocyte-macrophage colony-stimulating factor,Macrophage colony-stimulating factor 1,unknown,Granulocyte-macrophage colony-stimulating factor,Macrophage colony-stimulating factor 1,7478534,"Cis-acting elements with NF kappa B, AP-1 and ETS-like motifs have been identified in the promoter region of the GM-CSF gene, which are important for transcriptional activity following PMA and ionomycin stimulation."
Granulocyte-macrophage colony-stimulating factor,Macrophage colony-stimulating factor 1,binds,Granulocyte-macrophage colony-stimulating factor,Macrophage colony-stimulating factor 1,7478534,"Here we describe the ability of these factors to interact with a site (GM5), located within the CLE0 element, -47 to -40 upstream of the GM-CSF transcription initiation site."
Granulocyte-macrophage colony-stimulating factor,Macrophage colony-stimulating factor 1,unknown,Granulocyte-macrophage colony-stimulating factor,Macrophage colony-stimulating factor 1,7478534,"Exogenous ETS1, but not ELF1, can transactivate GM-CSF, through the GM5 site, in a PMA/ionomycin dependent manner."
C-C motif chemokine 7,Granulocyte-macrophage colony-stimulating factor,unknown,C-C motif chemokine 7,Granulocyte-macrophage colony-stimulating factor,7478534,"The GM-CSF promoter, modified in this way to be ETS1 specific, is fully responsive to PMA/ionomycin induction, in addition to ETS1 transactivation in the presence of PMA and ionomycin."
C-C motif chemokine 7,Macrophage colony-stimulating factor 1,unknown,C-C motif chemokine 7,Macrophage colony-stimulating factor 1,7478534,"The GM-CSF promoter, modified in this way to be ETS1 specific, is fully responsive to PMA/ionomycin induction, in addition to ETS1 transactivation in the presence of PMA and ionomycin."
Granulocyte-macrophage colony-stimulating factor,Macrophage colony-stimulating factor 1,unknown,Granulocyte-macrophage colony-stimulating factor,Macrophage colony-stimulating factor 1,7478534,"The GM-CSF promoter, modified in this way to be ETS1 specific, is fully responsive to PMA/ionomycin induction, in addition to ETS1 transactivation in the presence of PMA and ionomycin."
Granulocyte-macrophage colony-stimulating factor,Macrophage colony-stimulating factor 1,unknown,Granulocyte-macrophage colony-stimulating factor,Macrophage colony-stimulating factor 1,7478534,Together these data suggest that ETS1 may be involved in mediating the increased GM-CSF production associated with T cell activation.
Lymphotoxin-alpha,Macrophage metalloelastase,unknown,Lymphotoxin-alpha,Macrophage metalloelastase,2211640,These results indicate that lipoylation is not required for the import of H-protein precursor into mitochondria and H-protein is lipoylated in mitochondria which probably contain the physiologically active form of lipoic acid as well as the enzyme(s) responsible for the attachment.
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,20023638,Combinatorial readout of multiple covalent histone modifications is poorly understood.
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,10229231,These results indicate that ALG-4 is necessary and sufficient for FasL expression.
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,18165232,These results suggest that CERT is a physiological substrate of PP2Cepsilon and that dephosphorylation of CERT by PP2Cepsilon may play an important role in the regulation of ceramide trafficking from the ER to the Golgi apparatus.
Granulocyte colony-stimulating factor,Lymphotoxin-alpha,unknown,Granulocyte colony-stimulating factor,Lymphotoxin-alpha,7521688,"Although the G-CSFR belongs to the cytokine receptor superfamily, which lacks an intracellular kinase domain, G-CSF-induced tyrosine phosphorylation of cellular proteins is critical for its biologic activities."
Granulocyte colony-stimulating factor,Interleukin-6,unknown,Granulocyte colony-stimulating factor,Interleukin-6,7521688,"We also demonstrate that the DNA-binding protein STAT3 (also called the acute-phase response factor [APRF], activated by interleukin-6) is an early target of G-CSF-induced tyrosine phosphorylation."
Granulocyte colony-stimulating factor,Lymphotoxin-alpha,unknown,Granulocyte colony-stimulating factor,Lymphotoxin-alpha,7521688,These results identify a signal transduction pathway activated in response to G-CSF and provide a mechanism for the rapid modulation of gene expression by G-CSF.
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,11959841,"SETDB1: a novel KAP-1-associated histone H3, lysine 9-specific methyltransferase that contributes to HP1-mediated silencing of euchromatic genes by KRAB zinc-finger proteins."
C-C motif chemokine 7,Lymphotoxin-alpha,binds,C-C motif chemokine 7,Lymphotoxin-alpha,11959841,"Here we report that the KAP-1 corepressor for the KRAB-ZFP superfamily of transcriptional silencers binds to SETDB1, a novel SET domain protein with histone H3-K9-specific methyltransferase activity."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,11959841,"Although acetylation and phosphorylation of the H3 N-terminal tail profoundly affect the efficiency of H3-K9 methylation by SETDB1, we found that methylation of H3-K4 does not affect SETDB1-mediated methylation of H3-K9."
C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,unknown,C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,16888342,"Zygotic null mutants that eclose as adults display an array of morphological defects, many of which are shared by hep mutant animals, deficient in the JNK kinase (JNKK/MKK7) substrate for SLPR, suggesting that the defects observed in slpr mutants primarily reflect loss of hep-dependent JNK activation."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,16888342,"Zygotic null mutants that eclose as adults display an array of morphological defects, many of which are shared by hep mutant animals, deficient in the JNK kinase (JNKK/MKK7) substrate for SLPR, suggesting that the defects observed in slpr mutants primarily reflect loss of hep-dependent JNK activation."
Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,unknown,Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,16888342,"Zygotic null mutants that eclose as adults display an array of morphological defects, many of which are shared by hep mutant animals, deficient in the JNK kinase (JNKK/MKK7) substrate for SLPR, suggesting that the defects observed in slpr mutants primarily reflect loss of hep-dependent JNK activation."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,16401342,"Cullin levels were not altered in CSN-deficient human cells, but the levels of multiple F-box proteins were decreased."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,9990065,"These results strongly suggest that GLP-2, like glucagon and GLP-1, exerts its actions through a distinct and specific novel receptor expressed in its principal target tissue, the gastrointestinal tract."
C-C motif chemokine 7,Macrophage metalloelastase,unknown,C-C motif chemokine 7,Macrophage metalloelastase,17223360,"Here, we report the high level expression and purification of full-length human ACC2 that lacks only the N-terminal membrane attachment sequence (1-20 and 1-26 aa, respectively) in Trichoplusia ni cells."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,24753409,This result suggests that additional regulation exists to enable efficient dissociation of Rad1-Rad10 from dsDNA.
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,24841564,These results inspired us to test whether one specific heme is incorporated first and hence present in intermediate I.
C-X-C motif chemokine 9,Lymphotoxin-alpha,unknown,C-X-C motif chemokine 9,Lymphotoxin-alpha,22615488,The combined results of this study provide evidence that the H3K9-me1/2 demethylase KDM3B might play a role in leukemogenesis via activation of lmo2 through interdependent actions with the histone acetyltransferase (HAT) complex containing CBP.
C-X-C motif chemokine 9,Lymphotoxin-alpha,unknown,C-X-C motif chemokine 9,Lymphotoxin-alpha,26350504,AAMP plays a role in regulating cell migration of multiple cell types.
C-C motif chemokine 7,Vascular endothelial growth factor A,unknown,C-C motif chemokine 7,Vascular endothelial growth factor A,26350504,Mechanistic studies showed that AAMP expression was significantly upregulated by VEGF in a concentration and time-dependent manner.
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,23393134,"Here, we report that in a PKA-sensitive manner the tumor suppressor kinase LKB1 acts through salt-inducible kinase 2 (SIK2) and SIK3 to promote nucleocytoplasmic trafficking of class IIa HDACs."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,9512491,"Furthermore the stimulated PLC-delta1 activity resulting from activation of Ghalpha via the oxytocin receptor was significantly attenuated by the selective oxytocin antagonist desGly-NH2d(CH2)5[Tyr(Me)2,Thr4]ornithine vasotocin or GDP."
C-C motif chemokine 7,Oxidized low-density lipoprotein receptor 1,unknown,C-C motif chemokine 7,Oxidized low-density lipoprotein receptor 1,9763524,"Ligand specificity of LOX-1, a novel endothelial receptor for oxidized low density lipoprotein."
C-C motif chemokine 7,Oxidized low-density lipoprotein receptor 1,unknown,C-C motif chemokine 7,Oxidized low-density lipoprotein receptor 1,9763524,"To examine ligand specificity of LOX-1, we established CHO cell lines stably expressing both human and bovine LOX-1 (LOX-1-CHO)."
C-C motif chemokine 7,Oxidized low-density lipoprotein receptor 1,unknown,C-C motif chemokine 7,Oxidized low-density lipoprotein receptor 1,9763524,LOX-1-CHO bound and degraded 125I-labeled Ox-LDL but did not significantly degrade 125I-labeled acetylated LDL (Ac-LDL).
C-C motif chemokine 7,Oxidized low-density lipoprotein receptor 1,unknown,C-C motif chemokine 7,Oxidized low-density lipoprotein receptor 1,9763524,"Polyinosinic acid and carrageenan, in contrast, significantly reduced 125I-Ox-LDL binding to LOX-1-CHO by 62% and 60%, respectively."
C-C motif chemokine 7,Oxidized low-density lipoprotein receptor 1,unknown,C-C motif chemokine 7,Oxidized low-density lipoprotein receptor 1,9763524,"LOX-1 recognizes protein moiety of Ox-LDL, and its ligand specificity is distinct from other receptors for Ox-LDL, including class A and B scavenger receptors."
Lymphotoxin-alpha,Macrophage metalloelastase,unknown,Lymphotoxin-alpha,Macrophage metalloelastase,10387016,"A wealth of biochemical analysis has led to the description of a model for the action of NSF; through its interaction with SNAPs (soluble NSF attachment proteins), NSF can associate with SNAP receptors (SNAREs) on intracellular membranes, forming 20S complexes."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,20231902,"As a result, MST2 proapoptotic and growth arrest function was significantly reduced."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,16682010,Our results suggest that WHISTLE is a novel SET domain containing a protein with specific H3K4 and H3K27 HMTase activity.
Granulocyte-macrophage colony-stimulating factor,Interleukin-2,unknown,Granulocyte-macrophage colony-stimulating factor,Interleukin-2,8108127,"The Tax protein of HTLV-I, a positive transcriptional activator of HTLV-I gene expression, is a viral oncogene that also increases transcription of cellular genes including GM-CSF, IL-2R alpha and IL-2."
